run_id,test_id,workload_type,scale,clients,threads,duration_sec,whole_run_tps,sustained_tps,sustained_latency_ms,failed_txns,raw_file
2026-09-14_gcp_us-west1_e2-standard-4_run01,T052,mixed_tpc_b,10,32,4,180,2452.287471,2236.8,14.55,0,T052_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T053,select_only,10,1,1,120,9167.465813,9668.3,0.1,0,T053_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T053,select_only,10,4,4,120,31712.001673,32161.1,0.12,0,T053_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T053,select_only,10,8,4,120,29623.375752,29813.9,0.27,0,T053_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T053,select_only,10,16,4,120,27096.648611,27252.0,0.59,0,T053_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T053,select_only,10,32,4,120,17880.972432,18509.2,1.75,0,T053_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T052,mixed_tpc_b,10,1,1,180,1453.184461,1451.7,0.69,0,T052_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T052,mixed_tpc_b,10,4,4,180,3468.933659,3474.2,1.15,0,T052_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T052,mixed_tpc_b,10,8,4,180,5190.266638,5210.5,1.54,0,T052_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T052,mixed_tpc_b,10,16,4,180,6133.186693,6141.3,2.61,0,T052_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T052,mixed_tpc_b,10,32,4,180,6113.098344,6115.5,5.24,0,T052_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T053,select_only,10,1,1,120,20351.660541,20475.4,0.05,0,T053_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T053,select_only,10,4,4,120,57488.94005,57588.4,0.07,0,T053_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T053,select_only,10,8,4,120,52292.633797,52729.0,0.15,0,T053_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T053,select_only,10,16,4,120,49216.018484,48511.0,0.33,0,T053_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T053,select_only,10,32,4,120,47975.441354,47364.5,0.68,0,T053_raw.log
